user_key,user_id,gender,age_group,country,city,registration_date,email_domain,is_premium
1,USR000001,male,25 to 34,Mexico,  ,02-02-2021,,0
2,USR000002,MALE,18-24 ,USA,City_25,11-05-2021,hotmail.com,1
3,USR000003,MALE,,Japan,City_31,04-02-2022,gmail.com,yes
4,USR000004,MALE, 25-34,Australia,City_43,07-04-2023,gmail.com,yes
5,USR000005,,18-24,USA,  ,29-08-2019,gmail.com,yes
6,USR000006,FEMALE,35-44,France,  ,23-01-2021,gmail.com,0
7,USR000007,M,55+,UK,,06-03-2019,gmail.com,1
8,USR000008,F,45-54,Mexico,N/A,25-03-2023,outlook.com,NO
9,USR000009,M,,France,N/A,17-01-2022,,0
10,USR000010,Female,18-24 ,India,  ,10-04-2022,,1
11,USR000011,FEMALE,,Germany,N/A,16-10-2020,outlook.com,Yes
12,USR000012,MALE,45-54,Australia,City_50,11-08-2019,outlook.com,1
13,USR000013,male,18_24,Japan,City_1,24-08-2020,gmail.com,1
14,USR000014,FEMALE,45-54,Canada,N/A,20-02-2021,outlook.com,Yes
15,USR000015,,25 to 34,Canada,City_27,07-12-2022,yahoo.com,1
16,USR000016,male,18-24 ,Brazil,  ,21-04-2020,yahoo.com,NO
17,USR000017,Male,25 to 34,Brazil,City_49,06-06-2023,hotmail.com,yes
18,USR000018,other,,Mexico,,30-08-2022,outlook.com,1
19,USR000019,,35-44,USA,,09-08-2019,,1
20,USR000020,Male,55+,Australia,N/A,29-12-2021,outlook.com,yes
21,USR000021,male, 25-34,India,,05-07-2021,gmail.com,
22,USR000022,MALE, 25-34,Mexico,City_13,18-06-2022,gmail.com,Yes
23,USR000023,M,18-24 ,Germany,  ,01-02-2022,gmail.com,
24,USR000024,F,,Australia,,31-03-2022,gmail.com,0
25,USR000025,FEMALE,35-44,Japan,,07-09-2021,gmail.com,yes
26,USR000026,FEMALE,25 to 34,Mexico,,02-12-2023,gmail.com,NO
27,USR000027,MALE,45-54,Japan,,21-04-2021,gmail.com,0
28,USR000028,F,55+,UK,,19-05-2023,gmail.com,0
29,USR000029,Male,25-34,India,City_19,12-04-2020,yahoo.com,1
30,USR000030,M,,USA,  ,06-05-2020,gmail.com,0
31,USR000031,F,35-44,Brazil,  ,11-10-2022,,0
32,USR000032,Male,35-44,Mexico,,05-04-2023,,Yes
33,USR000033,F,45-54,USA,  ,05-04-2019,hotmail.com,Yes
34,USR000034,Female,35-44,USA,City_3,21-09-2019,hotmail.com,0
35,USR000035,FEMALE,25 to 34,France,City_18,11-02-2020,hotmail.com,0
36,USR000036,Female,,Mexico,  ,17-01-2019,gmail.com,1
37,USR000037,F,25-34,Brazil,City_29,29-07-2020,gmail.com,0
38,USR000038,O, 25-34,USA,  ,15-11-2019,outlook.com,0
39,USR000039,O,,France,City_7,18-07-2023,gmail.com,NO
40,USR000040,,55+,Brazil,  ,16-08-2023,gmail.com,Yes
41,USR000041,other,45-54,Germany,City_43,06-03-2020,hotmail.com,0
42,USR000042,O,45-54,Germany,  ,07-05-2020,yahoo.com,0
43,USR000043,FEMALE,18_24,Australia,  ,23-07-2023,yahoo.com,NO
44,USR000044,M,18-24,France,N/A,30-03-2020,yahoo.com,yes
45,USR000045,MALE,18-24,Canada,,17-11-2022,gmail.com,0
46,USR000046,Female,18-24 ,Japan,,27-11-2021,gmail.com,1
47,USR000047,MALE,55+,India,N/A,11-12-2021,outlook.com,
48,USR000048,Male,18-24 ,Mexico,City_19,17-07-2022,gmail.com,0
49,USR000049,Other,35-44,UK,  ,04-04-2023,gmail.com,Yes
50,USR000050,O,35-44,Australia,City_32,05-05-2020,gmail.com,1
51,USR000051,,18_24,Germany,N/A,01-08-2019,hotmail.com,0
52,USR000052,Male,18-24,UK,,16-09-2022,outlook.com,1
53,USR000053,O,25-34,UK,,13-03-2022,gmail.com,
54,USR000054,female,18-24 ,Germany,City_35,02-03-2021,,0
55,USR000055,Male, 25-34,Mexico,City_5,09-01-2019,hotmail.com,
56,USR000056,Male,25-34,Mexico,City_20,23-04-2023,hotmail.com,0
57,USR000057,Other,25 to 34,France,  ,25-10-2019,,0
58,USR000058,FEMALE,45-54,UK,  ,26-10-2020,gmail.com,NO
59,USR000059,,25-34,USA,  ,25-02-2019,yahoo.com,0
60,USR000060,,18_24,Germany,  ,04-06-2022,,0
61,USR000061,M,45-54,Canada,,27-01-2023,hotmail.com,0
62,USR000062,Male,,Brazil,City_49,01-01-2023,gmail.com,0
63,USR000063,,55+,Japan,  ,11-09-2022,outlook.com,yes
64,USR000064,male,18-24 ,Japan,N/A,11-11-2019,,1
65,USR000065,M,18-24 ,Australia,N/A,12-10-2021,hotmail.com,1
66,USR000066,male,18-24,USA,  ,03-02-2019,outlook.com,0
67,USR000067,Other,18_24,USA,,13-06-2020,yahoo.com,0
68,USR000068,male,55+,Brazil,City_36,12-01-2019,gmail.com,0
69,USR000069,other,35-44,India,City_12,19-02-2019,outlook.com,NO
70,USR000070,MALE,18_24,Brazil,,13-05-2023,gmail.com,0
71,USR000071,F,25 to 34,UK,N/A,27-09-2020,gmail.com,0
72,USR000072,male,25-34,France,  ,17-05-2020,yahoo.com,1
73,USR000073,Other,18-24,France,City_32,06-05-2023,outlook.com,1
74,USR000074,MALE,,Australia,,07-09-2023,yahoo.com,1
75,USR000075,Other,,India,City_30,23-01-2022,yahoo.com,
76,USR000076,Other,25-34,Japan,,10-06-2021,gmail.com,1
77,USR000077,Male,25-34,India,,16-02-2021,hotmail.com,
78,USR000078,Other,25 to 34,Japan,N/A,28-05-2021,gmail.com,1
79,USR000079,male,25 to 34,Germany,,20-11-2021,gmail.com,0
80,USR000080,F,25-34,Canada,N/A,12-09-2020,outlook.com,0
81,USR000081,other,18_24,Australia,City_39,15-08-2021,yahoo.com,NO
82,USR000082,Other,18-24,Australia,  ,24-03-2019,gmail.com,1
83,USR000083,Other,18_24,Australia,  ,21-07-2023,gmail.com,0
84,USR000084,,25-34,India,N/A,20-10-2021,gmail.com,yes
85,USR000085,female,35-44,France,  ,28-08-2022,gmail.com,Yes
86,USR000086,Female,25-34,USA,City_45,09-11-2019,hotmail.com,NO
87,USR000087,MALE,45-54,USA,  ,07-03-2021,hotmail.com,1
88,USR000088,other,18-24 ,UK,City_12,29-03-2019,yahoo.com,Yes
89,USR000089,O,35-44,Australia,N/A,20-02-2023,yahoo.com,0
90,USR000090,female,55+,India,City_37,25-11-2019,yahoo.com,0
91,USR000091,MALE,,India,  ,08-08-2021,,NO
92,USR000092,Female,18_24,Germany,,06-10-2020,hotmail.com,Yes
93,USR000093,F,,India,N/A,03-09-2021,outlook.com,Yes
94,USR000094,M,25-34,France,N/A,11-02-2023,,0
95,USR000095,other,35-44,Germany,City_5,02-11-2021,,Yes
96,USR000096,other,18-24 ,Japan,  ,26-05-2022,gmail.com,1
97,USR000097,Female,18-24 ,Australia,N/A,07-05-2021,outlook.com,yes
98,USR000098,FEMALE,35-44,Australia,,23-05-2021,,
99,USR000099,female,25-34,Mexico,  ,19-02-2020,,1
100,USR000100,male,45-54,USA,N/A,26-04-2021,yahoo.com,0
101,USR000101,Male,,India,City_3,28-10-2021,gmail.com,1
102,USR000102,FEMALE, 25-34,Australia,  ,01-03-2019,hotmail.com,1
103,USR000103,Other,18-24,UK,N/A,31-12-2020,hotmail.com,0
104,USR000104,Other,45-54,Canada,City_27,25-02-2020,outlook.com,1
105,USR000105,male,,USA,N/A,21-09-2021,yahoo.com,0
106,USR000106,male,18-24 ,Japan,City_43,01-02-2020,,NO
107,USR000107,,55+,Germany,City_20,21-12-2021,gmail.com,0
108,USR000108,MALE,18_24,USA,  ,29-04-2019,hotmail.com,1
109,USR000109,,35-44,UK,City_15,23-09-2023,gmail.com,0
110,USR000110,Female,25-34,Germany,  ,10-02-2022,gmail.com,Yes
111,USR000111,M,55+,Brazil,N/A,06-05-2023,hotmail.com,yes
112,USR000112,female,18-24 ,Japan,N/A,12-12-2021,gmail.com,NO
113,USR000113,male, 25-34,Japan,,29-10-2019,hotmail.com,yes
114,USR000114,MALE,18-24 ,India,N/A,17-02-2020,gmail.com,0
115,USR000115,female,45-54,Australia,  ,24-01-2020,gmail.com,yes
116,USR000116,Female,35-44,France,N/A,16-10-2023,hotmail.com,
117,USR000117,M,18_24,France,N/A,30-03-2019,gmail.com,
118,USR000118,FEMALE, 25-34,UK,  ,01-03-2022,gmail.com,0
119,USR000119,,45-54,Australia,  ,31-07-2021,,0
120,USR000120,O,35-44,Mexico,,02-03-2019,hotmail.com,
121,USR000121,Female, 25-34,USA,,11-07-2019,yahoo.com,NO
122,USR000122,Other, 25-34,Canada,,31-05-2022,,NO
123,USR000123,other, 25-34,Canada,  ,21-06-2023,gmail.com,1
124,USR000124,,,Australia,City_33,04-04-2022,,Yes
125,USR000125,Male,18_24,France,City_50,15-01-2022,gmail.com,0
126,USR000126,other,18-24 ,UK,City_18,14-12-2019,gmail.com,0
127,USR000127,,18-24,Mexico,,26-08-2020,gmail.com,Yes
128,USR000128,Female,,Germany,City_20,08-08-2021,gmail.com,NO
129,USR000129,other,35-44,France,  ,20-10-2021,gmail.com,1
130,USR000130,male,18-24,Brazil,,14-04-2019,yahoo.com,0
131,USR000131,M,18_24,Brazil,City_26,16-07-2022,gmail.com,1
132,USR000132,Female,25-34,India,  ,08-11-2022,gmail.com,0
133,USR000133,male,25-34,USA,N/A,13-08-2021,outlook.com,NO
134,USR000134,male,18-24 ,Germany,City_19,11-01-2021,yahoo.com,0
